"ID","Nombre de la Unidad Económica","Razón social","Código de la clase de actividad SCIAN","Nombre de clase de la actividad","Descripcion estrato personal ocupado","Tipo de vialidad","Nombre de la vialidad","Tipo de entre vialidad 1","Nombre de entre vialidad 1","Tipo de entre vialidad 2","Nombre de entre vialidad 2","Tipo de entre vialidad 3","Nombre de entre vialidad 3","Número exterior o kilómetro","Letra exterior","Edificio","Edificio Piso","Número interior","Letra interior","Tipo de asentamiento humano","Nombre de asentamiento humano","Tipo centro comercial","Corredor industrial, centro comercial o mercado público","Número de local","Código Postal","Clave entidad","Entidad federativa","Clave municipio","Municipio","Clave localidad","Localidad","Área geoestadística básica ","Manzana","Número de teléfono","Correo electrónico","Sitio en Internet","Tipo de establecimiento","Latitud","Longitud","Fecha de incorporación al DENUE"
"53818","ADMINISTRACION PORTUARIA INTEGRAL DE ENSENADA","ADMINISTRACIÓN PORTUARIA INTEGRAL DE ENSENADA SA DE CV","488310","Administración de puertos y muelles","51 a 100 personas","CALLE","TENIENTE AZUETA","CALLE","NINGUNO","CARRETERA","ENSENADA-TIJUANA","CARRETERA","ENSENADA-TIJUANA","110",,,,,,"ZONA FEDERAL","RECINTO PORTUARIO",,,,"22800","02","BAJA CALIFORNIA","001","Ensenada","0001","Ensenada","0632","009",,"SGFINANZAS@PUERTOENSENADA.COM.MX","WWW.PUERTOENSENADA.COM.MX","Fijo","31.85658216","-116.63496016","2010-07"
"93363","CAPITANIA DEL PUERTO","SECRETARIA DE COMUNICACIONES Y TRANSPORTES ","488310","Administración de puertos y muelles","11 a 30 personas","CALLE","TENIENTE AZUETA","CALLE","ENSENADA-TIJUANA","CARRETERA","ENSENADA-TIJUANA","CARRETERA","ENSENADA-TIJUANA","100",,,,"0",,"COLONIA","ZONA CENTRO",,,,"22800","02","BAJA CALIFORNIA","001","Ensenada","0001","Ensenada","0628","051",,"SGFINANZAS@COM.MX",,"Fijo","31.85969776","-116.63223647","2014-12"
"95404","ENSENADA CRUISEPORT VILLAGE","ENSENADA CRUISEPORT VILLAGE SA DE CV","488310","Administración de puertos y muelles","31 a 50 personas","BOULEVARD","COSTERO","AVENIDA","CASTILLO","CALLE","CLUB ROTARIO","ANDADOR","NINGUNO","0","SN",,,"0",,"COLONIA","ZONA CENTRO",,,,,"02","BAJA CALIFORNIA","001","Ensenada","0001","Ensenada","0632","009",,,,"Fijo","31.86115875","-116.63050471","2014-12"
"6740531","ENSENADA INTERNACIONAL TERMINAL","ENSENADA INTERNATIONAL TERMINAL SA DE CV","488320","Servicios de carga y descarga para el transporte por agua","251 y más personas","BOULEVARD","TENIENTE AZUETA","ANDADOR","NINGUNO","ANDADOR","SIN REFERENCIA","ANDADOR","NINGUNO","224",,,,"0",,"COLONIA","ZONA CENTRO INTERIOR RECINTO PORTUARIO",,,,"22800","02","BAJA CALIFORNIA","001","Ensenada","0001","Ensenada","0632","009",,,,"Fijo","31.85733954","-116.6341719","2016-10"
"8558484","MARINA PUERTO SALINA","SERVINAUTI OPERADORA SA DE CV","488310","Administración de puertos y muelles","6 a 10 personas","CALLE","NINGUNO","BOULEVARD","PUERTO SALINA","CALLE","PANTANO","BOULEVARD","PUERTO SALINA","5","CL",,,,,"PUERTO","LA SALINA",,,,"22765","02","BAJA CALIFORNIA","001","Ensenada","2157","Puerto Salina","6237","003",,"PAUL@MARINAPUERTOSALINA.COM","WWW.MARINAPUERTOSALINA.COM.MX","Fijo","32.05705502","-116.87870749","2019-11"
"7138809","SERVICIOS DE CARGA Y DESCARGA PARA EL TRANSPORTE POR AGUA",,"488320","Servicios de carga y descarga para el transporte por agua","11 a 30 personas","AVENIDA","LAS TORRES","PRIVADA","PERSEO","CALLE","CALLE EL SAUCE","CALZADA","PRINCIPAL","10043",,,,"0",,"COLONIA","HOROSCO",,,,"22230","02","BAJA CALIFORNIA","004","Tijuana","0001","Tijuana","5673","027",,"INFO@GRUASRYA.COM",,"Fijo","32.46020614","-116.89451424","2019-11"
"6770186","SERVICIOS PORTUARIOS","SERVICIOS PORTUARIOS SA DE CV","488310","Administración de puertos y muelles","51 a 100 personas","CALLE","NINGUNO","CALLE","PRIMERA","CALLE","SIN REFERENCIA","CALLE","APARTADO POSTAL 125","0","SN",,,,,"PUEBLO","EL SAUZAL",,,,,"02","BAJA CALIFORNIA","001","Ensenada","0247","El Sauzal de Rodríguez","7466","002",,,,"Fijo","31.89615119","-116.69983438","2016-10"
"8332568","ADMINISTRACIÓN PORTUARIA INTEGRAL DE BAJA CALIFORNIA SUR","ADMINISTRACION PORTUARIA INTEGRAL DE BAJA CALIFORNIA SUR SA DE CV","488310","Administración de puertos y muelles","11 a 30 personas","CALLE","PASEO ADOLFO LOPEZ MATEOS","CALLE","ATANASIO CARRILLO","CALLE","AGUA DULCE","CALLE","SIN REFERENCIA","0","SN",,,,,"COLONIA","CENTRO",,,,"23880","03","BAJA CALIFORNIA SUR","009","Loreto","0001","Loreto","0090","037",,"FINANZAS@APIBCS.COM","WWW.APIBCS.COM.MX","Fijo","26.01767401","-111.34248162","2019-11"
"8332569","ADMINISTRACIÓN PORTUARIA INTEGRAL DE BAJA CALIFORNIA SUR","ADMINISTRACION PORTUARIA INTEGRAL DE BAJA CALIFORNIA SUR SA DE CV","488310","Administración de puertos y muelles","11 a 30 personas","CARRETERA","Ninguno","CALLE","Ninguno","CALLE","Ninguno","CALLE","SIN REFERENCIA","0","SN",,,"0",,"COLONIA","CENTRO",,,,"23920","03","BAJA CALIFORNIA SUR","002","Mulegé","0001","Santa Rosalía","3465","010",,"FINANZAS@APIBCS.COM","APIBCS.COM","Fijo","27.33625278","-112.26328243","2019-11"
"8332570","ADMINISTRACIÓN PORTUARIA INTEGRAL DE BAJA CALIFORNIA SUR","ADMINISTRACION PORTUARIA INTEGRAL DE BAJA CALIFORNIA SUR SA DE CV","488310","Administración de puertos y muelles","31 a 50 personas","CARRETERA","FEDERAL 22 TRAMO PUERTO SAN CARLOS CD CONSTITUCION KM 58","CALLE","SIN REFERENCIA","CALLE","SIN REFERENCIA","CALLE","SIN REFERENCIA","0","SN",,,"0",,"COLONIA","CENTRO",,,,"23740","03","BAJA CALIFORNIA SUR","001","Comondú","0280","Puerto San Carlos","2309","038",,"FINANZAS@APIBCS.COM","WWW.APIBCS.COM.MX","Fijo","24.78767977","-112.12019898","2019-11"
"6776998","ADMINISTRACIÓN PORTUARIA INTEGRAL DE BAJA CALIFORNIA SUR","ADMINISTRACION PORTUARIA INTEGRAL DE BAJA CALIFORNIA SUR SA DE CV","488310","Administración de puertos y muelles","101 a 250 personas","CALLE","NINGUNO","CALLE","SIN REFERENCIA","CALLE","NINGUNO","CALLE","NINGUNO","0","SN",,,,,"PUERTO","COMERCIAL DE PICHILINGUE",,,,"23010","03","BAJA CALIFORNIA SUR","003","La Paz","1534","Puerto de Pichilingue","2411","010",,"MONSERRATH@APIBCS.COM","APIBCS.COM","Fijo","24.27609736","-110.32747647","2017-03"
"185430","ADMINISTRACION PORTUARIA INTEGRAL DE BCS","ADMINISTRACION PORTUARIA INTEGRAL DE BCS ","488310","Administración de puertos y muelles","11 a 30 personas","CALLE","NINGUNO","CALLE","TRANSPENINSULAR","CALLE","TRANSPENINSULAR","OTRO (ESPECIFIQUE)","POTRERO",,"SN","EDIFICIO SIN NOMBRE","PISO 1",,,"COLONIA","MESA MEXICO",,,,"23290","03","BAJA CALIFORNIA SUR","002","Mulegé","0001","Santa Rosalía","3465","010","6151520622","APIBCS@PRODIGY.NET.MX","APIBCS.COM","Fijo","27.33699354","-112.26425963","2010-07"
"178200","ADMINISTRACIÓN PORTUARIA INTEGRAL DE CABO SAN LUCAS","FONATUR TREN MAYA SA DE CV","488310","Administración de puertos y muelles","51 a 100 personas","BOULEVARD","PASEO DE LA MARINA","CALLE","NINGUNO","CALLE","NINGUNO","CALLE","NINGUNO","853",,,,,,"COLONIA","MARINA",,,,"23450","03","BAJA CALIFORNIA SUR","008","Los Cabos","0054","Cabo San Lucas","0356","076",,,"WWW.FONATUROPERADORAPORTUARIA.GOB.MX","Fijo","22.879119","-109.909129","2014-12"
"185431","ADMINSTRACION PORTUARIA INTEGRAL DE BCS","GOBIERNO ","488310","Administración de puertos y muelles","11 a 30 personas","CALLE","NINGUNO","CALLEJON","NINGUNO","OTRO (ESPECIFIQUE)","ESTERO","OTRO (ESPECIFIQUE)","POTRERO",,"SN",,,,,"COLONIA","CENTRO",,,,"23740","03","BAJA CALIFORNIA SUR","001","Comondú","0280","Puerto San Carlos","2309","038",,"APIBCS@PRODIGY.NET.MX","APIBCS.COM","Fijo","24.79176297","-112.11472331","2010-07"
"9343232","API BCS","ADMINISTRACION PORTUARIA INTEGRAL DE BAJA CALIFORNIA SUR SA DE CV","488310","Administración de puertos y muelles","101 a 250 personas","OTRO (ESPECIFIQUE)","AVENIDA PICHILINGUE","OTRO (ESPECIFIQUE)","MONTE","OTRO (ESPECIFIQUE)","MONTE","OTRO (ESPECIFIQUE)","MANZANA O EDIFICACIÓN CONTIGUA","0","SN","EDIFICIO SIN NOMBRE",,,,"PUERTO","PICHILINGUE",,"PUER","0",,"03","BAJA CALIFORNIA SUR","003","La Paz","1534","Puerto de Pichilingue","2411","015",,"DIRECCION@APIBCS.COM","APIBCS.COM","Fijo","24.26524025","-110.33303827","2021-05"
