village,hhn,plot,xcoord,ycoord
1,17,1,787877.63,644354.5
1,17,2,788041.19,644449.13
1,17,3,788041.31,644207.69
1,23,5,788942.69,644312.31
1,23,7,788942.69,644312.31
1,27,2,787733,644638.38
1,31,5,788631.19,644102.69
1,34,2,788020.88,644384.63
1,34,4,788008.38,644230.5
1,44,2,786556.31,643995.69
1,44,3,786452.81,644015.88
1,59,2,787416.63,644368.81
1,63,5,787217.31,644308.31
1,63,6,786832.38,644340.38
2,1,1,807386.63,645925.63
2,1,2,808970.69,645961.88
2,3,5,807388.63,645762.81
2,3,6,807388.63,645762.81
2,4,2,808134.31,641571.81
2,5,1,806383.88,644816.13
2,6,8,806700.88,644496.13
2,9,2,807859.38,646153.31
2,9,3,807869.38,646142.88
2,11,1,806900.31,645876.38
2,11,2,806747.38,645850.69
2,18,3,807050.31,643930.31
2,28,6,808050.13,644882.81
2,29,1,808148.88,646637.5
2,32,2,807338.31,645276.69
2,33,3,806049.81,645208.63
2,34,5,804602.63,643517.81
2,35,4,807133.63,646443.38
2,36,3,807632.63,645525.63
2,38,1,807890.88,645606.88
2,38,6,807890.88,645606.88
2,40,1,809096.63,646136.5
2,43,1,807306.63,645450.31
2,45,2,810976.88,647990.13
2,45,5,810958.88,648000.5
2,51,1,805956.63,644839.81
2,51,3,805946.31,644880.31
2,52,2,806988.81,645515.13
2,52,9,806988.81,645515.13
2,56,7,807959.81,645516.13
2,56,8,808507.88,646314
2,56,9,808986.31,646273.13
2,56,10,808986.31,646273.13
2,61,2,806818.81,644610.38
2,61,4,806603.19,644022.19
2,61,5,806603.19,644022.19
3,2,1,805980.81,649275.31
3,3,1,808188.31,649496.31
3,4,4,808116.31,649842.5
3,6,1,809629.63,649657.69
3,9,5,808682.13,649487.63
3,10,4,807635.88,650236.69
3,12,3,807644.81,649951.63
3,14,11,807807.38,648643.13
3,15,1,805700.81,650645
3,15,3,805700.81,650645
3,16,4,807859.63,649246.38
3,17,1,808637.81,649033.81
3,17,3,808686.81,648996
3,17,5,808319.63,648917.81
3,24,1,808982.88,649597.63
3,25,3,807882.31,649977.88
3,26,1,807719.63,650146.63
3,27,6,808990.31,649848.81
3,28,5,808142.13,650158.31
3,28,6,808203.88,650153.88
3,28,7,808177.38,650166.19
3,29,4,809357.38,649671.81
3,29,8,808702.13,649204.13
3,29,10,808853.13,648923.13
3,29,11,808853.13,648923.13
3,30,2,807844.69,652248.38
3,31,1,807939.69,650287
3,31,7,808170.38,648866.69
3,31,13,807959.88,649608.81
3,34,1,807801.88,650631.13
3,38,2,808495.88,648933.81
3,43,1,808504.13,649148.31
3,43,4,808699,649298.63
3,44,1,808715,649610.19
3,47,3,807749.63,648406.38
3,48,3,807786.88,649494.13
3,51,1,808446.38,649652.81
3,52,2,809234.31,648739.31
3,54,1,807746.38,650251.81
3,60,1,807807,650993.63
3,60,2,807580.88,651263.19
3,60,3,807579.13,651303.38
3,60,8,807580.88,651263.19
3,61,7,807299.5,648655.69
3,61,10,807299.5,648655.69
3,62,2,807244.38,649794.5
3,62,3,807165.38,649825.63
3,63,1,807358.5,649635
4,34,3,809383.88,643876.63
